                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.55616,                0.34843,                 0.8689,                0.67822,                0.33038,                0.89336,                0.84683,                0.76282,                0.85695,                0.62672,                0.82707,                0.60735,                0.99506,                 1.0198,                0.93954,                 1.0461,              0.0012278,              0.0012278,              0.0012278
                     42,                0.57188,                0.36605,                0.88452,                0.69851,                0.32415,                0.91821,                0.91904,                0.84615,                0.92181,                0.71242,                0.73657,                0.51378,                0.92099,                0.85616,                0.58507,                0.96399,               0.001208,               0.001208,               0.001208
                     43,                0.55647,                0.35739,                 0.8615,                0.67404,                0.31203,                0.88794,                0.93984,                0.88132,                0.93909,                0.74892,                0.69533,                0.42768,                0.89326,                0.79373,                0.47193,                0.91549,              0.0011882,              0.0011882,              0.0011882
                     44,                0.54392,                0.35187,                0.87684,                 0.6453,                0.31565,                0.89983,                0.89478,                0.83718,                0.91472,                0.73335,                0.69571,                0.46349,                0.90616,                0.79524,                0.55706,                0.94406,              0.0011684,              0.0011684,              0.0011684
                     45,                0.53409,                0.34619,                0.85304,                0.63532,                0.30227,                0.86981,                0.91793,                0.84744,                0.92636,                0.74658,                0.67343,                0.45791,                0.89477,                0.76809,                0.51433,                0.93009,              0.0011486,              0.0011486,              0.0011486
                     46,                0.57729,                0.36379,                0.87438,                0.67561,                  0.308,                0.89402,                0.91579,                0.89236,                 0.9391,                 0.7673,                0.66408,                0.43483,                0.89129,                0.74039,                0.47422,                 0.9003,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.5608,                0.36212,                0.85667,                0.68853,                0.32214,                0.88391,                0.94649,                0.90715,                0.94979,                0.77285,                0.64502,                0.41751,                0.87357,                0.77117,                0.39569,                0.89387,               0.001109,               0.001109,               0.001109
                     48,                0.53061,                0.34721,                0.86496,                0.64635,                0.28389,                0.88658,                0.93226,                 0.9141,                0.95136,                0.78882,                0.62632,                0.39743,                0.86665,                0.72785,                0.36511,                0.88963,              0.0010892,              0.0010892,              0.0010892
                     49,                0.50081,                0.32648,                0.84445,                0.60253,                0.27919,                0.86221,                0.94031,                0.90878,                0.95139,                0.79142,                0.61646,                0.39198,                0.87269,                0.71286,                0.37802,                0.90053,              0.0010694,              0.0010694,              0.0010694
                     50,                0.49434,                0.32835,                0.85213,                0.59147,                0.29615,                 0.8767,                0.95657,                0.88718,                0.94661,                0.77669,                0.63074,                0.39233,                0.87691,                0.76723,                0.40281,                0.91039,              0.0010496,              0.0010496,              0.0010496
                     51,                 0.4966,                0.33319,                0.85192,                0.60805,                0.29252,                0.87995,                0.96711,                 0.9047,                0.96068,                0.78951,                0.62914,                0.38861,                0.87227,                0.73668,                 0.3648,                0.90379,              0.0010298,              0.0010298,              0.0010298
                     52,                0.51409,                0.33543,                0.87386,                0.61955,                 0.2934,                 0.8996,                0.96224,                0.88077,                0.95722,                0.78985,                0.60692,                0.38831,                0.86257,                 0.7288,                0.39169,                0.89136,                0.00101,                0.00101,                0.00101
                     53,                0.48923,                0.32218,                0.85495,                0.59879,                0.27495,                0.87895,                0.95619,                    0.9,                0.95745,                0.78865,                 0.6055,                0.39373,                0.86436,                0.72659,                0.40323,                0.89235,              0.0009902,              0.0009902,              0.0009902
                     54,                0.50997,                0.32102,                0.84392,                0.61629,                0.25887,                0.87081,                0.92988,                0.90109,                   0.95,                0.78391,                0.60934,                0.41471,                0.86821,                0.72243,                0.41608,                0.89544,              0.0009704,              0.0009704,              0.0009704
                     55,                0.51825,                0.32881,                0.85752,                0.60273,                0.27362,                0.88125,                0.93354,                0.82842,                0.93237,                 0.7236,                0.72474,                0.46269,                0.91726,                 0.8513,                0.50169,                0.95989,              0.0009506,              0.0009506,              0.0009506
                     56,                0.46362,                 0.3089,                0.84228,                 0.5657,                0.24517,                 0.8624,                0.93381,                0.88974,                0.94968,                0.77296,                0.63833,                 0.4216,                0.88056,                0.74019,                0.43702,                0.91043,              0.0009308,              0.0009308,              0.0009308
                     57,                0.47592,                0.30765,                 0.8376,                0.55837,                0.24471,                0.85256,                0.92888,                0.91282,                0.95942,                0.79036,                0.61289,                0.39357,                0.87313,                0.70915,                0.38611,                0.89301,               0.000911,               0.000911,               0.000911
                     58,                0.48051,                 0.3082,                 0.8495,                0.55973,                0.24769,                0.87004,                0.94709,                0.91282,                  0.966,                0.81285,                0.58775,                0.35634,                0.86313,                0.68612,                0.34172,                0.88371,              0.0008912,              0.0008912,              0.0008912
                     59,                  0.483,                 0.3061,                0.83303,                0.55767,                0.24318,                0.85103,                0.91497,                0.92429,                0.95838,                0.79327,                0.61265,                0.37861,                0.87935,                0.72066,                0.37729,                0.90186,              0.0008714,              0.0008714,              0.0008714
                     60,                0.49124,                0.30832,                0.84297,                0.58434,                0.27889,                0.86691,                0.96614,                0.91441,                0.96368,                0.81194,                0.56843,                0.34076,                0.84844,                 0.6711,                0.31959,                0.86848,              0.0008516,              0.0008516,              0.0008516
