                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4964,                0.95597,                 1.3684,                0.78844,                0.72564,                0.79124,                0.47358,                 1.4753,                0.95791,                 1.2386,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4298,                0.89531,                 1.2812,                0.85037,                0.73718,                0.80338,                0.43735,                 1.5784,                0.92937,                 1.2419,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4116,                0.90659,                  1.305,                0.85936,                   0.75,                0.83427,                 0.4972,                 1.4393,                0.87545,                 1.1997,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.356,                0.86496,                 1.2477,                0.88285,                0.75769,                 0.8569,                0.50737,                 1.4374,                 0.8697,                 1.1911,               0.000911,               0.000911,               0.000911
                     57,                 1.3647,                 0.8833,                 1.2381,                0.87003,                0.74615,                0.83575,                0.47401,                 1.5222,                0.91256,                 1.2318,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4021,                0.88601,                 1.2827,                 0.8551,                0.74872,                0.82321,                0.46188,                  1.543,                0.92652,                 1.2277,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.348,                0.85102,                 1.2262,                0.88258,                0.77564,                0.86003,                0.51507,                  1.419,                0.85727,                 1.1771,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3694,                0.83967,                 1.2508,                0.88226,                0.79103,                0.86872,                0.51523,                  1.446,                0.84598,                 1.1852,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3044,                0.83182,                 1.2328,                0.89086,                0.79103,                0.86559,                 0.5052,                 1.4712,                0.84525,                 1.1905,               0.000812,               0.000812,               0.000812
                     62,                 1.3153,                0.82624,                 1.2326,                0.89078,                0.76795,                0.85608,                0.51511,                 1.3896,                0.83103,                  1.176,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3164,                0.85046,                 1.2661,                0.88362,                0.77564,                0.84518,                 0.5129,                 1.4092,                0.83226,                 1.1808,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3392,                0.85576,                 1.2408,                 0.8676,                0.74487,                 0.8118,                0.43143,                  1.676,                0.91925,                 1.2458,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4122,                0.87074,                 1.2607,                0.88098,                0.74966,                0.83673,                0.50341,                 1.4409,                0.87276,                  1.181,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2829,                0.80562,                 1.2274,                0.89328,                0.78339,                0.86148,                0.53183,                 1.3605,                0.82052,                 1.1672,               0.000713,               0.000713,               0.000713
                     67,                 1.2774,                0.82208,                 1.2078,                0.88406,                0.78203,                0.86221,                0.49979,                 1.4635,                0.84195,                 1.1682,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3065,                0.81563,                 1.2394,                0.90708,                0.78333,                0.86731,                 0.5207,                 1.3984,                0.81987,                 1.1568,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2398,                0.79185,                 1.1893,                0.89295,                 0.7859,                0.86123,                   0.54,                 1.3349,                0.81405,                 1.1497,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2088,                0.79933,                 1.1961,                0.87117,                0.76282,                0.82425,                0.49021,                  1.448,                0.87807,                  1.195,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2458,                0.78809,                 1.1769,                0.87924,                0.77692,                0.84852,                 0.5227,                 1.3988,                0.82685,                 1.1741,               0.000614,               0.000614,               0.000614
                     72,                 1.2445,                0.77899,                 1.1975,                0.89465,                0.78387,                0.87315,                0.53113,                 1.3826,                0.80761,                 1.1537,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2459,                0.79395,                 1.1856,                0.88747,                0.80128,                 0.8831,                0.56226,                 1.2951,                0.78636,                 1.1238,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1843,                0.74966,                 1.1487,                0.90036,                0.77622,                0.86251,                0.51991,                 1.3909,                0.80199,                 1.1598,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2128,                0.75822,                 1.1915,                0.90165,                 0.7522,                0.85269,                0.54029,                 1.3287,                0.79652,                 1.1587,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2074,                0.74546,                 1.1603,                0.89226,                0.77179,                0.86318,                0.54997,                 1.3066,                0.79079,                 1.1425,               0.000515,               0.000515,               0.000515
                     77,                 1.2254,                0.75948,                 1.1775,                0.91174,                0.76816,                0.86689,                0.53737,                 1.3471,                0.78372,                 1.1457,              0.0004952,              0.0004952,              0.0004952
                     78,                   1.19,                0.79789,                 1.1835,                0.90074,                0.78205,                0.86095,                0.51334,                 1.4206,                0.78459,                 1.1594,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1834,                0.75635,                 1.1707,                0.87851,                0.75897,                0.84046,                0.52704,                 1.3322,                0.79107,                  1.161,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1913,                0.75219,                 1.1545,                0.90351,                0.77692,                0.86918,                0.54957,                 1.2908,                0.76541,                 1.1304,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1409,                0.74823,                 1.1672,                0.92018,                0.79744,                0.88627,                0.53992,                 1.3406,                0.77171,                 1.1267,               0.000416,               0.000416,               0.000416
                     82,                 1.1744,                0.74417,                 1.1402,                0.90023,                0.81923,                0.89141,                0.52654,                 1.3949,                0.77701,                 1.1297,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2259,                0.74507,                 1.1739,                0.91752,                0.81297,                0.89946,                0.57516,                 1.2849,                0.76132,                 1.1113,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1908,                0.75993,                 1.1932,                0.92386,                0.79103,                0.88453,                0.57252,                 1.2804,                0.75766,                  1.114,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1977,                0.74908,                 1.1673,                0.91973,                0.77179,                 0.8633,                0.53851,                 1.3623,                0.78601,                 1.1488,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1808,                 0.7431,                 1.1707,                0.89402,                0.76026,                0.84661,                 0.5246,                 1.3735,                0.79554,                 1.1693,               0.000317,               0.000317,               0.000317
                     87,                 1.1762,                0.73427,                 1.1428,                0.88459,                0.78718,                0.86551,                0.55472,                 1.2934,                0.75881,                 1.1364,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.185,                0.72642,                 1.1329,                0.90119,                0.79615,                 0.8799,                0.56549,                 1.2988,                0.75336,                 1.1271,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1951,                0.75781,                 1.2025,                0.91041,                0.79231,                0.88329,                0.56328,                 1.3083,                0.75574,                 1.1303,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1208,                0.71648,                 1.1256,                0.92204,                0.80385,                0.88977,                0.55852,                 1.3356,                0.76009,                 1.1385,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.1222,                  0.889,                 1.1534,                0.89489,                 0.8141,                0.88857,                 0.5755,                 1.2836,                0.75962,                 1.1203,               0.000218,               0.000218,               0.000218
                     92,                 1.1197,                0.81291,                 1.1499,                0.87933,                0.80348,                0.86791,                0.55736,                 1.3019,                0.82345,                  1.137,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1234,                0.79013,                 1.1727,                0.87291,                0.78462,                0.85254,                0.54407,                 1.3246,                 0.8721,                 1.1515,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.035,                0.76213,                 1.1453,                0.87004,                0.76391,                0.83928,                0.52383,                 1.3807,                 0.8691,                 1.1831,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0865,                0.75829,                 1.1321,                0.90192,                0.74273,                0.84388,                0.52438,                 1.3755,                0.81269,                 1.1716,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0898,                 0.7553,                 1.1204,                 0.8766,                0.77692,                0.85992,                0.54879,                 1.3025,                0.79457,                 1.1337,               0.000119,               0.000119,               0.000119
                     97,                 1.0545,                0.74805,                 1.1159,                0.87908,                0.79359,                0.86873,                 0.5589,                 1.2777,                0.78616,                 1.1195,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0249,                 0.7447,                 1.1206,                0.91006,                0.78077,                0.88132,                0.57364,                 1.2524,                0.77516,                 1.1051,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.018,                0.73616,                 1.1221,                0.90231,                0.79103,                0.88307,                0.57643,                 1.2467,                0.76417,                 1.0999,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0563,                0.72721,                 1.1415,                0.90506,                0.79487,                0.88372,                 0.5727,                 1.2594,                0.76395,                 1.1048,               3.98e-05,               3.98e-05,               3.98e-05
